closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
July,Not Murdered,40.6741545,-73.76839661,7,"40.6741545,-73.76839661",,,7/4/2022,22:14:00,22,9PM-11:59PM
June,Not Murdered,40.852012,-73.907209,6,"40.852012,-73.907209",,,6/20/2022,1:18:00,1,12AM-2:59AM
November,Not Murdered,40.70247387,-73.79992086,11,"40.70247387,-73.79992086",,,11/5/2022,19:15:00,19,6PM-8:59PM
January,Not Murdered,40.585939,-74.159871,1,"40.585939,-74.159871",,,1/20/2022,6:00:00,6,6AM-8:59AM
May,Not Murdered,40.853645,-73.906891,5,"40.853645,-73.906891",,,5/3/2022,0:46:00,0,12AM-2:59AM
July,Not Murdered,40.875237,-73.851061,7,"40.875237,-73.851061",,,7/26/2022,15:03:00,15,3PM-5:59PM
July,Murdered,40.820609,-73.914786,7,"40.820609,-73.914786",,,7/2/2022,13:30:00,13,12PM-2:59PM
April,Not Murdered,40.764613,-73.833362,4,"40.764613,-73.833362",,,4/16/2022,22:15:00,22,9PM-11:59PM
July,Not Murdered,40.711437,-73.981969,7,"40.711437,-73.981969",,,7/5/2022,1:30:00,1,12AM-2:59AM
April,Not Murdered,40.821812,-73.895871,4,"40.821812,-73.895871",,,4/21/2022,9:50:00,9,9AM-11:59AM
July,Murdered,40.839633,-73.904964,7,"40.839633,-73.904964",,,7/22/2022,4:30:00,4,3AM-5:59AM
February,Not Murdered,40.802758,-73.9386,2,"40.802758,-73.9386",,,2/13/2022,22:25:00,22,9PM-11:59PM
July,Not Murdered,40.57200642,-73.98931656,7,"40.57200642,-73.98931656",,,7/10/2022,2:00:00,2,12AM-2:59AM
March,Not Murdered,40.74266361,-73.99804911,3,"40.74266361,-73.99804911",,,3/8/2022,22:00:00,22,9PM-11:59PM
April,Not Murdered,40.821812,-73.895871,4,"40.821812,-73.895871",,,4/21/2022,9:50:00,9,9AM-11:59AM
May,Not Murdered,40.874128,-73.901621,5,"40.874128,-73.901621",,,5/21/2022,17:11:00,17,3PM-5:59PM
December,Murdered,40.843004,-73.886251,12,"40.843004,-73.886251",,,12/28/2022,18:36:00,18,6PM-8:59PM
February,Not Murdered,40.789323,-73.946316,2,"40.789323,-73.946316",,,2/1/2022,11:10:00,11,9AM-11:59AM
October,Not Murdered,40.67235,-73.7642,10,"40.67235,-73.7642",,,10/4/2022,18:47:00,18,6PM-8:59PM
January,Not Murdered,40.873981,-73.874363,1,"40.873981,-73.874363",,,1/27/2022,15:30:00,15,3PM-5:59PM
